group,names,scores,logfoldchanges,pvals_adj
7,MCCD1,22.204468,2.4450886,6.987766693692132e-106
7,DSP,21.497366,1.6265273,3.3326495565954702e-99
7,RERG,21.399637,2.2374358,2.269417073931499e-98
7,BAMBI,20.829395,1.7155539,3.646757264836064e-93
7,ZNF703,20.755898,1.4666857,1.5665366148269594e-92
7,EIF4A1,20.540293,1.0403479,1.1881548740417612e-90
7,RAB11FIP1,20.406307,1.7073638,1.7485824736648122e-89
7,KRT19,20.372063,0.6834234,3.32526252971569e-89
7,NME2,20.27347,0.76231104,2.3476293689211844e-88
7,HSP90AA1,20.252697,0.88186675,3.400911645955353e-88
7,IER3,20.192854,1.7509158,1.0896043767039288e-87
7,IFIT1,20.101118,1.7898967,6.63280301877564e-87
7,HEBP1,19.599607,1.6490129,1.2121090261595827e-82
7,S100P,19.358343,1.2585305,1.2986845299000538e-80
7,MBOAT1,19.234615,2.320432,1.3720525739055592e-79
7,HSP90AB1,19.232664,0.75610054,1.3755222216881032e-79
7,S100G,19.149052,2.1443563,6.644908431677566e-79
7,COX6C,19.025684,1.2133912,6.818593486292238e-78
7,SERPINA5,18.622324,2.253763,1.2981759459241618e-74
7,WIPI1,18.594353,2.182824,2.1235715902290435e-74
7,HIST1H4H,18.58446,1.6307548,2.480735147509289e-74
7,DDR1,18.48661,1.3006368,1.4086936858549278e-73
7,H2AFJ,18.407543,1.1896764,5.926958825001418e-73
7,SPCS1,18.180195,1.2491002,3.745180719134375e-71
7,ILF2,18.045788,1.2522044,4.099951605428321e-70
7,SPTSSB,18.016489,2.3397613,6.64824731737375e-70
7,MLPH,17.92948,1.3667225,3.052508194209757e-69
7,IFI27,17.890167,0.85006446,6.053998788100426e-69
7,EVL,17.856686,1.023943,1.08043323278183e-68
7,TSKU,17.742348,1.9214432,8.15220867471087e-68
7,NME1,17.70581,1.0708876,1.529809622724918e-67
7,NDUFB9,17.638044,0.9541337,4.9863920496551884e-67
7,RP1,17.619625,2.5839665,6.773705552061749e-67
7,TXNDC17,17.603718,1.2795863,8.722661986719576e-67
7,ERLIN2,17.571424,1.5953363,1.499616884045834e-66
7,HLA-B,17.492718,0.7531066,5.879790865666184e-66
7,BRF2,17.443613,1.5995618,1.3423473398895604e-65
7,COX7C,17.315641,0.81264085,1.208463960586163e-64
7,LRIG1,17.307396,1.7119545,1.360891035615825e-64
7,CTPS2,17.306913,1.6630195,1.360891035615825e-64
7,TOB1,17.133497,1.3168414,2.5976032543569723e-63
7,FKBP4,17.124247,0.9935402,2.9990639381504584e-63
7,NQO1,16.99889,1.1156006,2.5263429042480727e-62
8,TMEM150C,26.989986,2.418198,3.918324160910908e-156
8,SLC39A6,26.766861,2.5767975,7.947586115904233e-154
8,BAMBI,26.333048,2.2278242,5.4111857039043306e-149
